,Symbol,Date,Close,lr_pb_10N_15d,lr_pb_10N_30d,lr_pb_10N_7d,lr_pb_10P_15d,lr_pb_10P_30d,lr_pb_10P_7d,lr_pb_15N_15d,lr_pb_15N_30d,lr_pb_15N_7d,lr_pb_15P_15d,lr_pb_15P_30d,lr_pb_15P_7d,lr_pb_20N_15d,lr_pb_20N_30d,lr_pb_20N_7d,lr_pb_20P_15d,lr_pb_20P_30d,lr_pb_20P_7d,lr_pb_25N_15d,lr_pb_25N_30d,lr_pb_25N_7d,lr_pb_25P_15d,lr_pb_25P_30d,lr_pb_25P_7d,rf_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_7d,rf_pb_10P_15d,rf_pb_10P_30d,rf_pb_10P_7d,rf_pb_15N_15d,rf_pb_15N_30d,rf_pb_15N_7d,rf_pb_15P_15d,rf_pb_15P_30d,rf_pb_15P_7d,rf_pb_20N_15d,rf_pb_20N_30d,rf_pb_20N_7d,rf_pb_20P_15d,rf_pb_20P_30d,rf_pb_20P_7d,rf_pb_25N_15d,rf_pb_25N_30d,rf_pb_25N_7d,rf_pb_25P_15d,rf_pb_25P_30d,rf_pb_25P_7d,Xv_pb_10N_15d,Xv_pb_10N_30d,Xv_pb_10N_7d,Xv_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_10P_7d,Xv_pb_15N_15d,Xv_pb_15N_30d,Xv_pb_15N_7d,Xv_pb_15P_15d,Xv_pb_15P_30d,Xv_pb_15P_7d,Xv_pb_20N_15d,Xv_pb_20N_30d,Xv_pb_20N_7d,Xv_pb_20P_15d,Xv_pb_20P_30d,Xv_pb_20P_7d,Xv_pb_25N_15d,Xv_pb_25N_30d,Xv_pb_25N_7d,Xv_pb_25P_15d,Xv_pb_25P_30d,Xv_pb_25P_7d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
6328,SOL-USD,2024-06-01,163.24990844726562,0.6742122884484499,0.47329724763760167,0.5310083804676753,0.5120470805661247,0.6285197225633044,0.771817561849255,0.6208350418123507,0.737471650211813,0.7083804313419582,0.32753539072241206,0.5429440212145924,0.45743785449801844,0.6535823902254536,0.482551678606605,0.7497067671808506,0.5318409479751914,0.6030880155431384,0.4273013993970524,0.6514441926223413,0.7629260605039576,0.6942914528455582,0.38525129720312806,0.5741898061636423,0.2727569060805367,0.37,0.35,0.38,0.56,0.77,0.69,0.25,0.23,0.6,0.68,0.74,0.61,0.42,0.33,0.56,0.64,0.68,0.76,0.54,0.49,0.65,0.73,0.76,0.57,0.36134624,0.19659975,0.53919053,0.32178482,0.4277986,0.99565744,0.8295452,0.016939955,0.8606994,0.93607616,0.9211764,0.8809348,0.6210122,0.8115462,0.88220644,0.92108333,0.6319002,0.9916857,0.9877314,0.86635,0.97647846,0.9107808,0.5242931,0.6752976,0.6597340539091707,0.6395766227609221,0.6883324299566225,0.45564542566724753,0.5731992659724792,0.6727839128046534
4751,ETH-USD,2024-06-01,3780.89599609375,0.5781150881586973,0.3786825148073084,0.23294965457047487,0.46484884374901536,0.8876223399526271,0.700130000214211,0.5198308365922879,0.3926011359296831,0.5529499919514018,0.3147568023535356,0.8370829876698548,0.5198061253114704,0.8350369040520421,0.47513991437713005,0.18277948067309893,0.3865226139049652,0.8523425844489055,0.389461363201851,0.6888452842905001,0.6518479039260271,0.4567071513619448,0.5472478073107223,0.825334015647107,0.23745938800855818,0.36,0.33,0.37,0.59,0.71,0.72,0.24,0.27,0.49,0.69,0.72,0.62,0.43,0.32,0.48,0.66,0.62,0.74,0.57,0.47,0.64,0.73,0.74,0.6,0.27333564,0.12774181,0.43638048,0.37865558,0.4114747,0.99506146,0.7489154,0.014590289,0.79816556,0.9514955,0.9428895,0.83670217,0.65127516,0.79516417,0.7543533,0.92108333,0.75142413,0.9916857,0.9884015,0.8264723,0.97440207,0.93388987,0.5773468,0.71778977,0.7234580081674764,0.6513643786597547,0.6865208818828348,0.4110630613705576,0.5656130709076128,0.5373077878761551
2344,BTC-USD,2024-06-01,67751.6015625,0.41055161310310706,0.4105963888825057,0.34332855859127287,0.3157225218057331,0.28569063290827074,0.19669286381928455,0.37478057301744955,0.3796964289360764,0.2379591531754906,0.21152151250155893,0.3502778739409241,0.0972689328151848,0.1685704774512531,0.5689392499771687,0.2586495213805937,0.241713852648091,0.28943631684007454,0.02405715448827585,0.1736752030154223,0.22784022357380437,0.016474691703314885,0.06041786872390239,0.5625659327581974,0.031126170376696006,0.37,0.34,0.36,0.6,0.77,0.67,0.25,0.23,0.53,0.66,0.84,0.63,0.44,0.34,0.49,0.67,0.7,0.75,0.53,0.45,0.58,0.71,0.79,0.63,0.19800413,0.05876121,0.22151099,0.80940855,0.42706844,0.9925028,0.907117,0.019562857,0.92566115,0.95296794,0.9532999,0.88833547,0.6186331,0.91723245,0.74034524,0.95111567,0.91524726,0.9967456,0.8619227,0.8411274,0.898802,0.95297235,0.8462439,0.79984033,0.6832593512722545,0.6339294070989386,0.5920822482456869,0.3951527968469647,0.45573649284379686,0.4786544712463007
6329,SOL-USD,2024-06-02,164.9234619140625,0.6957001198932228,0.4256868610675515,0.5295514899190144,0.589533117182142,0.61160126661874,0.7673287574172329,0.6609970571065907,0.7486305008878046,0.7140246621476226,0.4330177869369165,0.5368468096303302,0.5240262702254515,0.7205672477065593,0.4897692730240458,0.7989069992464322,0.5507076586008098,0.6017720049996377,0.4381873729366065,0.7723456107832014,0.6528510634383904,0.6254484837011621,0.40354320373967173,0.628903728790761,0.43449591812136124,0.35,0.36,0.37,0.6,0.74,0.66,0.28,0.24,0.59,0.71,0.73,0.62,0.45,0.34,0.52,0.67,0.67,0.75,0.61,0.47,0.64,0.74,0.73,0.56,0.36134624,0.19659975,0.51375973,0.32178482,0.40662307,0.99535394,0.8403052,0.017052293,0.871887,0.9376393,0.9393163,0.8072968,0.61299115,0.8115462,0.88681394,0.90944284,0.69723856,0.9883675,0.989287,0.86635,0.97647846,0.9146011,0.5242931,0.65472376,0.6595881561534586,0.6636344691318851,0.6930005125706469,0.447829736335952,0.6004957979847618,0.6648080966922756
4752,ETH-USD,2024-06-02,3766.38916015625,0.41926209051635516,0.3066940877948311,0.10481520012789382,0.36298914958953615,0.8046656044773827,0.7348467242968685,0.37365178703125684,0.47586640894580323,0.3911765779763609,0.3820090189657308,0.7433975862926997,0.6877176841103736,0.666859333055333,0.39368936173510316,0.17435439727479551,0.5175409727794075,0.621847243041461,0.5942569764069019,0.6313133683928833,0.6864802623791059,0.3402401245448527,0.803922831333209,0.6806831656610499,0.5804030729990036,0.36,0.32,0.37,0.59,0.72,0.72,0.23,0.28,0.5,0.69,0.73,0.63,0.42,0.31,0.48,0.65,0.62,0.74,0.57,0.47,0.64,0.74,0.74,0.6,0.27333564,0.12774181,0.43638048,0.37865558,0.4114747,0.99506146,0.82426965,0.014590289,0.79816556,0.9514955,0.9428895,0.83670217,0.65127516,0.79516417,0.7543533,0.92108333,0.75142413,0.9916857,0.9884015,0.8264723,0.97440207,0.93388987,0.5773468,0.71778977,0.6928223387299877,0.6755011051615567,0.7412152480863512,0.40730913676986985,0.5348386542583495,0.5061516350983435
2345,BTC-USD,2024-06-02,68804.78125,0.2378119375947754,0.30682050803537914,0.16645797387102318,0.42138435110950584,0.43407332846421454,0.27711667369701204,0.2467669462954842,0.3018738965871999,0.16822550141035722,0.29373318442010266,0.5493722177085909,0.13296705193556557,0.1342189483452634,0.4968034490974162,0.15377914382491817,0.3227734904517676,0.399999015610965,0.026610378175985144,0.13151265371788867,0.1897794976718324,0.012537545447481679,0.10257708063422888,0.7061950300810234,0.0407667791613649,0.37,0.34,0.36,0.6,0.77,0.67,0.25,0.23,0.53,0.66,0.84,0.63,0.44,0.34,0.49,0.67,0.7,0.75,0.53,0.45,0.58,0.71,0.79,0.63,0.19800413,0.05876121,0.22151099,0.80940855,0.42706844,0.9925028,0.907117,0.019562857,0.92566115,0.95296794,0.9532999,0.88833547,0.6186331,0.91723245,0.74034524,0.95111567,0.91524726,0.9967456,0.8619227,0.8411274,0.898802,0.95297235,0.8462439,0.79984033,0.718819348533762,0.6541205155045509,0.601024960401161,0.37781305290112144,0.4311364803323985,0.45137001343614647
6330,SOL-USD,2024-06-03,171.8019256591797,0.6958343218782446,0.4255113834201299,0.529677885799172,0.5893997476793823,0.6116954535753885,0.7673454832990086,0.6610860565750772,0.7485579951374263,0.7141196886464034,0.43274174421860173,0.5367940854554476,0.5239860488924861,0.7206116968659338,0.4896999414322353,0.7988735312254691,0.5505468155502172,0.601690450145467,0.4381182023825224,0.7724455919212208,0.6529746737910237,0.62549071122213,0.4034320465478905,0.6285965301419606,0.4343155551795744,0.35,0.36,0.37,0.6,0.74,0.66,0.28,0.24,0.59,0.71,0.73,0.62,0.45,0.34,0.52,0.67,0.67,0.75,0.61,0.47,0.64,0.74,0.73,0.56,0.36134624,0.19659975,0.51375973,0.32178482,0.40662307,0.99535394,0.8403052,0.017052293,0.871887,0.9376393,0.9393163,0.8072968,0.61299115,0.8115462,0.88681394,0.90944284,0.69723856,0.9883675,0.989287,0.86635,0.97647846,0.9146011,0.5242931,0.65472376,0.659568141105774,0.6635897883374262,0.6929807933370646,0.4478184998129582,0.6005198403795966,0.6648267144266369
4753,ETH-USD,2024-06-03,3812.515869140625,0.36398594575883586,0.36023967675618174,0.09023954302247601,0.4062214589499889,0.7832517335920188,0.7319935957780299,0.33509024900919904,0.5101570712803932,0.3515824809249948,0.475306229500795,0.7535523799712409,0.7034098963691019,0.642506572490364,0.40632233278031615,0.1786520894364805,0.5741162529828923,0.6444051392944622,0.6219417700391198,0.5837024524775591,0.6427473485355898,0.32392838213590275,0.8309247469813719,0.7644491878891656,0.6445653886920135,0.36,0.32,0.37,0.59,0.72,0.72,0.23,0.28,0.5,0.69,0.76,0.63,0.42,0.31,0.48,0.66,0.63,0.74,0.57,0.47,0.64,0.74,0.77,0.6,0.27380627,0.12774181,0.42663977,0.37865558,0.4114747,0.99277675,0.82426965,0.014590289,0.79816556,0.9478984,0.9428895,0.8260637,0.65127516,0.79516417,0.7543533,0.92108333,0.6319002,0.9916857,0.9884015,0.84350014,0.97440207,0.93388987,0.5773468,0.7099637,0.6937175719092135,0.690531467655871,0.746999860148265,0.41205752066763757,0.5239923344646175,0.4999931324249408
2346,BTC-USD,2024-06-03,70567.765625,0.18535368207927538,0.271522274092717,0.1497606472514743,0.45023900581435367,0.47217069592682204,0.3048621567480553,0.19145014482918207,0.24195951313767894,0.1589285755997081,0.3404987535593103,0.5829377365368489,0.15029275580860754,0.10641265054162881,0.3687772100064786,0.08041047043686227,0.32558688545889375,0.44025772545334846,0.05510221088103701,0.06825938421875151,0.20395909684907154,0.01437658745521947,0.09199328713563001,0.7176461414698574,0.04958070049834172,0.36,0.32,0.36,0.6,0.78,0.69,0.22,0.22,0.53,0.67,0.85,0.63,0.42,0.33,0.53,0.67,0.69,0.75,0.49,0.44,0.61,0.72,0.81,0.63,0.18744038,0.05876121,0.20768845,0.8124085,0.4890598,0.9925028,0.90368134,0.016744561,0.92566115,0.95296794,0.9532999,0.914918,0.6415322,0.90312654,0.6289202,0.94469756,0.8895007,0.9965919,0.85208344,0.8411274,0.898802,0.9507763,0.8462439,0.79984033,0.7324850109708978,0.6598240812311053,0.6110035671658862,0.35919416949073124,0.408704332759208,0.4396409298531645
6331,SOL-USD,2024-06-04,173.48291015625,0.5530583324000516,0.5976162573275885,0.40783795889937974,0.7100568984560627,0.5175225717543956,0.7507426912520895,0.5703181626081614,0.8121965727405042,0.614049907405907,0.6940629007502732,0.587337346906392,0.5627465110459743,0.6755772852380887,0.5566817175024953,0.8293705675873315,0.6969736617605755,0.6775108466691863,0.5058842739301359,0.6617140225843872,0.525840969261932,0.5837536562501726,0.5141085624874422,0.8583665180806132,0.6099844845559808,0.38,0.33,0.36,0.59,0.76,0.66,0.28,0.22,0.59,0.71,0.81,0.62,0.46,0.34,0.52,0.66,0.71,0.77,0.6,0.45,0.65,0.73,0.79,0.59,0.37664604,0.16333586,0.4946167,0.35611656,0.37306526,0.9956884,0.92405313,0.017052293,0.89874053,0.92502046,0.9265944,0.88656867,0.7002479,0.9146322,0.88681394,0.90944284,0.76640433,0.9887997,0.96403295,0.9049307,0.97853607,0.9193246,0.8128218,0.6460113,0.7235460590434301,0.7051102613278841,0.7228744697268971,0.46122295667739793,0.5925516049529845,0.646738909496205
4754,ETH-USD,2024-06-04,3864.260986328125,0.28838763586596944,0.49098858368582926,0.06339403702468605,0.4982870180220788,0.730129054828015,0.7180051924428904,0.29818143343201514,0.5897314357484649,0.2953328125934508,0.6586577771557229,0.7807322391249475,0.7192235026675285,0.6411588892632422,0.4801851975708691,0.21654587560121322,0.6699577976429584,0.7000429134598221,0.6631870153305934,0.5077211921847062,0.5775640892822599,0.30688115570210756,0.8663285045454641,0.889989600654491,0.7377222143635197,0.38,0.3,0.37,0.57,0.75,0.72,0.23,0.25,0.5,0.68,0.84,0.63,0.43,0.31,0.5,0.66,0.65,0.77,0.54,0.44,0.65,0.73,0.79,0.63,0.27004254,0.10461146,0.39795646,0.41533932,0.41676465,0.9896108,0.9363088,0.014590289,0.83759344,0.9473857,0.930523,0.9052966,0.7258017,0.9061752,0.7672431,0.92108333,0.70977944,0.9919956,0.9236173,0.8745953,0.97663707,0.92811865,0.8433137,0.7099637,0.7491447272523231,0.7160908061965567,0.7689229561645943,0.428097085683786,0.5226972953818225,0.4993317315712507
2347,BTC-USD,2024-06-04,71082.8203125,0.42279992246395615,0.1999743592652798,0.49385767792124535,0.38091957693782946,0.7002363546879674,0.2737126780524751,0.3379135241849593,0.12816175036906854,0.33925021887938395,0.10368321611366746,0.6182746854779616,0.07317217234964396,0.21554762684624723,0.3247125916369231,0.05792443569698211,0.1308741632377597,0.6221076275071126,0.01963198217320611,0.12830436260238412,0.23458041864172446,0.025190807390695152,0.019563213228450275,0.5626272143925525,0.006795299559625756,0.33,0.36,0.34,0.61,0.75,0.71,0.22,0.24,0.52,0.69,0.73,0.61,0.42,0.33,0.51,0.67,0.66,0.72,0.52,0.46,0.6,0.72,0.75,0.6,0.17763612,0.072575465,0.22057337,0.84026825,0.4836131,0.99593073,0.65560097,0.016744561,0.9051937,0.95666164,0.95654196,0.85215443,0.59321535,0.7893468,0.6122415,0.94469756,0.80451727,0.9964593,0.9636324,0.783343,0.88996035,0.9526673,0.58279014,0.8059042,0.6937256505282224,0.6279069477644704,0.5878016952324254,0.341064788715956,0.42728022484482997,0.4733347094983888
6332,SOL-USD,2024-06-05,170.01622009277344,0.5564729115622402,0.5938468267187729,0.4105124288253139,0.7075766287348876,0.5196810783402349,0.7511247621443494,0.5724392620936926,0.8109118627334301,0.616452204381697,0.6888321251631592,0.586216256713804,0.561881120831736,0.6766314371345895,0.5551882483585618,0.8287268229686853,0.6939717820200799,0.6758874502837441,0.5043527514714209,0.6644843310807895,0.5288054781069772,0.5847084083358425,0.5115926717206327,0.8548417982021435,0.6061698304855379,0.36,0.33,0.36,0.59,0.76,0.66,0.28,0.22,0.59,0.71,0.81,0.62,0.46,0.34,0.52,0.66,0.72,0.77,0.6,0.45,0.65,0.74,0.79,0.59,0.37664604,0.16333586,0.4946167,0.35611656,0.37306526,0.9956884,0.8878712,0.017052293,0.89874053,0.92502046,0.9265944,0.88656867,0.7147679,0.8844524,0.88681394,0.90944284,0.76640433,0.9887997,0.96403295,0.9049307,0.97853607,0.9193246,0.8128218,0.6460113,0.7242666589191138,0.7051608686116914,0.7224533366884912,0.4582016429110154,0.5893032266221797,0.647173763605149
4755,ETH-USD,2024-06-05,3811.60595703125,0.3088439373661585,0.5003932523582263,0.06168842759181645,0.4955852226592685,0.7275993558202215,0.7165887522240317,0.3215073457804013,0.6023283543265284,0.30962111499625505,0.6524540510095683,0.7818787241900252,0.7116073869048354,0.6749820992914316,0.5077912295999877,0.23369629972423678,0.6601098572623867,0.7038111929272814,0.6589812673682917,0.5299674199438819,0.6031800851620691,0.31710121913424744,0.8606728146144431,0.8899134797983036,0.7229786953545922,0.38,0.3,0.37,0.57,0.75,0.72,0.23,0.25,0.5,0.68,0.84,0.63,0.43,0.31,0.5,0.66,0.65,0.77,0.55,0.44,0.65,0.73,0.79,0.63,0.27004254,0.10461146,0.39795646,0.41533932,0.41676465,0.9896108,0.9363088,0.014590289,0.83759344,0.9473857,0.930523,0.9052966,0.7258017,0.9061752,0.7672431,0.92108333,0.70977944,0.9919956,0.9236173,0.8745953,0.97663707,0.92811865,0.8433137,0.7099637,0.7492816758023872,0.7144769288029316,0.7669267632873522,0.4326213840873233,0.5303775565618166,0.5022122796250135
2348,BTC-USD,2024-06-05,70757.1640625,0.3919701008906512,0.17931990555189153,0.45548167982329163,0.39924587206705725,0.7800227997106647,0.2992052430205301,0.3004483996930165,0.1181409430584845,0.2961596126742379,0.12691318074107616,0.6959415115609268,0.09233349559016454,0.19135830500761916,0.30260555167446934,0.042993349713239835,0.1597803072730599,0.671338835808675,0.02292899496188884,0.10655021392727106,0.20389607134377385,0.020221163365976052,0.02964290564510797,0.6150229822965206,0.007418466473446342,0.33,0.36,0.34,0.61,0.75,0.71,0.22,0.24,0.52,0.69,0.73,0.61,0.42,0.33,0.51,0.67,0.66,0.72,0.52,0.46,0.6,0.72,0.75,0.6,0.17763612,0.072575465,0.22057337,0.84026825,0.4836131,0.99593073,0.65560097,0.016744561,0.9051937,0.95666164,0.95654196,0.85215443,0.59321535,0.7893468,0.6122415,0.94469756,0.80451727,0.9964593,0.9636324,0.783343,0.88996035,0.9526673,0.58279014,0.8059042,0.7090602010692615,0.633179063525528,0.5911808002872727,0.3359909095229251,0.41967063811893524,0.4653429588882484
6333,SOL-USD,2024-06-06,162.50704956054688,0.578479864995069,0.5885916570581353,0.4490466231336934,0.5999521374926876,0.5668401503364292,0.7609516947465595,0.5586660038409023,0.7828705064075927,0.6424442557372723,0.5022893723329508,0.5767836008770624,0.48345990254257987,0.6205282501875182,0.5274552283805426,0.7741703778647205,0.6338315003882676,0.6544890740928674,0.4723221753972625,0.5638803216248758,0.6932572488664586,0.6689566570999294,0.4580741534272321,0.7598082837329271,0.37634945639012374,0.37,0.33,0.38,0.56,0.8,0.7,0.25,0.21,0.61,0.68,0.8,0.61,0.42,0.33,0.57,0.65,0.72,0.76,0.55,0.47,0.66,0.74,0.81,0.58,0.40530947,0.16333586,0.52011347,0.28088626,0.46807125,0.9936466,0.8695363,0.016939955,0.85823417,0.9176412,0.9128242,0.8892223,0.7749785,0.8115462,0.88220644,0.92108333,0.7703073,0.991869,0.9877314,0.9049307,0.97647846,0.8660008,0.7853033,0.6668402,0.7300936793000836,0.6606206186169123,0.7018355420775346,0.45816068310711955,0.5774329470970241,0.6612837554812359
4756,ETH-USD,2024-06-06,3678.629150390625,0.3544734345960146,0.5687269167295181,0.05919839109742095,0.4330956208843998,0.6525873462525466,0.6699684282028006,0.3717206787482898,0.6661560680214456,0.3000115121614481,0.573888714731869,0.7307931228735713,0.686187511877795,0.7297208708754117,0.6315548285419175,0.3529752843776663,0.6348226351277733,0.6286225414623586,0.4779868806043736,0.7141821129085947,0.5961453720755708,0.28653494726029577,0.8764295862605614,0.8719848191014293,0.6949468768143963,0.38,0.32,0.36,0.57,0.74,0.7,0.26,0.26,0.5,0.67,0.83,0.62,0.46,0.32,0.45,0.66,0.66,0.76,0.58,0.45,0.63,0.72,0.77,0.63,0.38316515,0.12120021,0.4177652,0.35611656,0.3575249,0.9896108,0.9386598,0.017052293,0.83759344,0.9473857,0.930523,0.876115,0.7058173,0.9146322,0.7752015,0.90944284,0.76640433,0.9887997,0.92909414,0.8745953,0.97663707,0.9312526,0.8433137,0.7099637,0.7330965294046823,0.6967964939234012,0.7401071484873889,0.45473143421678425,0.5698207197266405,0.5027973494041751
2349,BTC-USD,2024-06-06,69342.5859375,0.4737929732609699,0.2616975244817929,0.4309754253871356,0.328497548279316,0.723295583198836,0.23920691361138963,0.36636997583269154,0.15406665076242237,0.254617263601647,0.10738262687276158,0.6387904677588441,0.09951578465424106,0.2206054713788299,0.428275217883001,0.05972714692767778,0.15385562847076167,0.5708637339845685,0.014057275902430708,0.19342314397680654,0.19450123313135084,0.015012418239233794,0.04802362848452696,0.5516139693195217,0.005959408021956378,0.34,0.38,0.34,0.61,0.74,0.68,0.25,0.25,0.52,0.68,0.73,0.61,0.44,0.34,0.48,0.68,0.66,0.72,0.57,0.47,0.57,0.71,0.73,0.6,0.187775,0.072575465,0.23499908,0.8376247,0.46190506,0.99593073,0.68107253,0.019562857,0.9051937,0.95666164,0.95654196,0.81003386,0.56930184,0.8166569,0.72649676,0.95111567,0.84665143,0.99661887,0.96634454,0.8311066,0.88996035,0.954783,0.58279014,0.8059042,0.6916709239525115,0.6279688815985267,0.5803443759401192,0.3620384895117251,0.4484407880675001,0.4666720262464496
