;simulation;Date;model;number_correct_entries;number_entries;percent_correct_entries;simulate_entry;simulate_return;simulate_variation
0;1;;rf_pb_20N_30d;2;5;0,4;500;433,8929709539712;-0,1322140580920576
1;2;;rf_pb_20N_30d;0;5;0,0;500;622,3067226802598;0,24461344536051957
2;3;;rf_pb_20N_30d;2;5;0,4;500;428,90437518310017;-0,14219124963379964
3;4;;rf_pb_20N_30d;0;5;0,0;500;613,505902413221;0,2270118048264419
4;5;;rf_pb_20N_30d;2;5;0,4;500;482,64567925706;-0,03470864148587998
5;6;;rf_pb_20N_30d;2;5;0,4;500;402,28411694022145;-0,1954317661195571
6;7;;rf_pb_20N_30d;0;5;0,0;500;520,6260486695815;0,0412520973391629
7;8;;rf_pb_20N_30d;1;5;0,2;500;507,8685838395587;0,01573716767911742
8;9;;rf_pb_20N_30d;2;5;0,4;500;449,7359412383745;-0,10052811752325101
9;10;;rf_pb_20N_30d;2;5;0,4;500;590,4645613199891;0,18092912263997823
10;11;;rf_pb_20N_30d;1;5;0,2;500;521,5277490766905;0,04305549815338099
11;12;;rf_pb_20N_30d;0;5;0,0;500;644,3631830366536;0,2887263660733072
12;13;;rf_pb_20N_30d;2;5;0,4;500;453,83369956539565;-0,0923326008692087
13;14;;rf_pb_20N_30d;1;5;0,2;500;545,5240561202172;0,09104811224043442
14;15;;rf_pb_20N_30d;1;5;0,2;500;519,99045217575;0,03998090435149993
15;16;;rf_pb_20N_30d;5;5;1,0;500;343,9322424640487;-0,31213551507190257
16;17;;rf_pb_20N_30d;3;5;0,6;500;410,2793067952376;-0,17944138640952484
17;18;;rf_pb_20N_30d;2;5;0,4;500;466,9185394590562;-0,0661629210818876
18;19;;rf_pb_20N_30d;0;5;0,0;500;542,6023783697623;0,08520475673952456
19;20;;rf_pb_20N_30d;1;5;0,2;500;454,3323564954621;-0,09133528700907584
20;21;;rf_pb_20N_30d;3;5;0,6;500;427,9402677918776;-0,1441194644162448
21;22;;rf_pb_20N_30d;0;5;0,0;500;525,582367546649;0,05116473509329808
22;23;;rf_pb_20N_30d;1;5;0,2;500;566,0202898954642;0,1320405797909284
23;24;;rf_pb_20N_30d;1;5;0,2;500;714,2032996163082;0,42840659923261637
24;25;;rf_pb_20N_30d;0;5;0,0;500;563,8923266946946;0,12778465338938919
25;26;;rf_pb_20N_30d;1;5;0,2;500;487,6989069803923;-0,024602186039215438
26;27;;rf_pb_20N_30d;3;5;0,6;500;426,12200516946206;-0,1477559896610759
27;28;;rf_pb_20N_30d;1;5;0,2;500;606,3136378301735;0,2126272756603471
28;29;;rf_pb_20N_30d;3;5;0,6;500;401,4196289003843;-0,19716074219923144
29;30;;rf_pb_20N_30d;2;5;0,4;500;496,384096379044;-0,007231807241911952
30;31;;rf_pb_20N_30d;2;5;0,4;500;500,6695229170734;0,0013390458341467593
31;32;;rf_pb_20N_30d;2;5;0,4;500;511,99284367711346;0,02398568735422691
32;33;;rf_pb_20N_30d;1;5;0,2;500;560,182312937577;0,12036462587515394
33;34;;rf_pb_20N_30d;1;5;0,2;500;498,1041008722694;-0,003791798255461231
34;35;;rf_pb_20N_30d;1;5;0,2;500;495,72009919999095;-0,008559801600018091
35;36;;rf_pb_20N_30d;1;5;0,2;500;466,1077876177427;-0,0677844247645146
36;37;;rf_pb_20N_30d;1;5;0,2;500;528,7090632280191;0,05741812645603818
37;38;;rf_pb_20N_30d;3;5;0,6;500;663,7840682093401;0,3275681364186803
38;39;;rf_pb_20N_30d;1;5;0,2;500;500,6108918596658;0,0012217837193315973
39;40;;rf_pb_20N_30d;1;5;0,2;500;508,96559330212267;0,01793118660424534
40;41;;rf_pb_20N_30d;2;5;0,4;500;460,7967481000006;-0,07840650379999875
41;42;;rf_pb_20N_30d;0;5;0,0;500;461,9376579612446;-0,07612468407751077
42;43;;rf_pb_20N_30d;1;5;0,2;500;478,4918355950263;-0,043016328809947366
43;44;;rf_pb_20N_30d;1;5;0,2;500;449,9826281183009;-0,10003474376339819
44;45;;rf_pb_20N_30d;2;5;0,4;500;456,06000447681924;-0,08787999104636152
45;46;;rf_pb_20N_30d;2;5;0,4;500;573,7928806757914;0,14758576135158274
46;47;;rf_pb_20N_30d;0;5;0,0;500;575,5039016212489;0,15100780324249785
47;48;;rf_pb_20N_30d;3;5;0,6;500;379,13708976410726;-0,24172582047178548
48;49;;rf_pb_20N_30d;1;5;0,2;500;508,40478137827944;0,016809562756558875
49;50;;rf_pb_20N_30d;1;5;0,2;500;610,3794346307906;0,22075886926158114
50;1;;Xv_pb_15N_30d;4;5;0,8;500;388,52656672663505;-0,2229468665467299
51;2;;Xv_pb_15N_30d;0;5;0,0;500;506,5970316715836;0,013194063343167159
52;3;;Xv_pb_15N_30d;4;5;0,8;500;370,2038509410553;-0,2595922981178894
53;4;;Xv_pb_15N_30d;2;5;0,4;500;430,854143020467;-0,13829171395906598
54;5;;Xv_pb_15N_30d;2;5;0,4;500;490,8266155722053;-0,018346768855589404
55;6;;Xv_pb_15N_30d;2;5;0,4;500;714,047926412318;0,428095852824636
56;7;;Xv_pb_15N_30d;2;5;0,4;500;430,8793971032414;-0,13824120579351723
57;8;;Xv_pb_15N_30d;2;5;0,4;500;431,8647704449438;-0,13627045911011237
58;9;;Xv_pb_15N_30d;2;5;0,4;500;447,984711414923;-0,10403057717015395
59;10;;Xv_pb_15N_30d;2;5;0,4;500;454,49300534391034;-0,09101398931217931
60;11;;Xv_pb_15N_30d;1;5;0,2;500;539,1362123986756;0,07827242479735128
61;12;;Xv_pb_15N_30d;1;5;0,2;500;498,673249739007;-0,0026535005219859614
62;13;;Xv_pb_15N_30d;2;5;0,4;500;434,45520333591736;-0,13108959332816528
63;14;;Xv_pb_15N_30d;0;5;0,0;500;598,1391512563334;0,19627830251266687
64;15;;Xv_pb_15N_30d;1;5;0,2;500;634,3466415170137;0,26869328303402745
65;16;;Xv_pb_15N_30d;2;5;0,4;500;529,7301580209789;0,05946031604195787
66;17;;Xv_pb_15N_30d;2;5;0,4;500;517,8442311679884;0,03568846233597674
67;18;;Xv_pb_15N_30d;0;5;0,0;500;614,0850618159511;0,22817012363190226
68;19;;Xv_pb_15N_30d;1;5;0,2;500;621,9491414868542;0,24389828297370833
69;20;;Xv_pb_15N_30d;2;5;0,4;500;441,8721392027129;-0,1162557215945742
70;21;;Xv_pb_15N_30d;3;5;0,6;500;399,5875174671932;-0,2008249650656136
71;22;;Xv_pb_15N_30d;4;5;0,8;500;380,17413016116205;-0,2396517396776759
72;23;;Xv_pb_15N_30d;3;5;0,6;500;523,2977350549345;0,04659547010986898
73;24;;Xv_pb_15N_30d;1;5;0,2;500;580,3077544705717;0,16061550894114338
74;25;;Xv_pb_15N_30d;3;5;0,6;500;415,8666224066948;-0,16826675518661044
75;26;;Xv_pb_15N_30d;3;5;0,6;500;412,2615110512108;-0,17547697789757843
76;27;;Xv_pb_15N_30d;1;5;0,2;500;462,3918628083332;-0,0752162743833336
77;28;;Xv_pb_15N_30d;3;5;0,6;500;413,2179780119159;-0,17356404397616826
78;29;;Xv_pb_15N_30d;3;5;0,6;500;405,8163589650817;-0,1883672820698366
79;30;;Xv_pb_15N_30d;2;5;0,4;500;515,6839424478421;0,031367884895684255
80;31;;Xv_pb_15N_30d;2;5;0,4;500;495,3435514786612;-0,009312897042677605
81;32;;Xv_pb_15N_30d;2;5;0,4;500;571,0398086726015;0,1420796173452029
82;33;;Xv_pb_15N_30d;2;5;0,4;500;477,8595962900286;-0,04428080741994279
83;34;;Xv_pb_15N_30d;2;5;0,4;500;543,3172802074698;0,08663456041493964
84;35;;Xv_pb_15N_30d;2;5;0,4;500;550,6050822563553;0,10121016451271066
85;36;;Xv_pb_15N_30d;3;5;0,6;500;417,59232791309194;-0,16481534417381613
86;37;;Xv_pb_15N_30d;1;5;0,2;500;596,4698629701251;0,19293972594025013
87;38;;Xv_pb_15N_30d;3;5;0,6;500;420,26907930599134;-0,1594618413880173
88;39;;Xv_pb_15N_30d;2;5;0,4;500;442,5778021634994;-0,11484439567300114
89;40;;Xv_pb_15N_30d;3;5;0,6;500;590,276843429873;0,180553686859746
90;41;;Xv_pb_15N_30d;3;5;0,6;500;418,2323873720026;-0,16353522525599476
91;42;;Xv_pb_15N_30d;4;5;0,8;500;375,99076418321096;-0,2480184716335781
92;43;;Xv_pb_15N_30d;0;5;0,0;500;848,1251057433585;0,6962502114867171
93;44;;Xv_pb_15N_30d;3;5;0,6;500;400,0486917683039;-0,1999026164633922
94;45;;Xv_pb_15N_30d;1;5;0,2;500;568,6509838088213;0,13730196761764252
95;46;;Xv_pb_15N_30d;1;5;0,2;500;482,0666932987158;-0,03586661340256842
96;47;;Xv_pb_15N_30d;4;5;0,8;500;346,5382689428344;-0,3069234621143312
97;48;;Xv_pb_15N_30d;4;5;0,8;500;403,5451199495195;-0,19290976010096098
98;49;;Xv_pb_15N_30d;3;5;0,6;500;419,9351809029524;-0,16012963819409515
99;50;;Xv_pb_15N_30d;5;5;1,0;500;335,12225262332606;-0,32975549475334787
100;1;;rf_pb_25P_30d;2;5;0,4;500;508,915945632848;0,017831891265695957
101;2;;rf_pb_25P_30d;1;5;0,2;500;516,2580730869696;0,032516146173939206
102;3;;rf_pb_25P_30d;1;5;0,2;500;613,1626287041225;0,22632525740824508
103;4;;rf_pb_25P_30d;0;5;0,0;500;439,632154897257;-0,12073569020548598
104;5;;rf_pb_25P_30d;0;5;0,0;500;470,90135839179;-0,05819728321642003
105;6;;rf_pb_25P_30d;1;5;0,2;500;567,8605638797417;0,13572112775948336
106;7;;rf_pb_25P_30d;2;5;0,4;500;529,9724514186108;0,05994490283722166
107;8;;rf_pb_25P_30d;0;5;0,0;500;436,3929999022421;-0,12721400019551585
108;9;;rf_pb_25P_30d;0;5;0,0;500;465,2015472995055;-0,06959690540098905
109;10;;rf_pb_25P_30d;0;5;0,0;500;461,0484426743707;-0,07790311465125865
110;11;;rf_pb_25P_30d;0;5;0,0;500;468,1915114289296;-0,06361697714214086
111;12;;rf_pb_25P_30d;1;5;0,2;500;504,6629159428102;0,009325831885620346
112;13;;rf_pb_25P_30d;1;5;0,2;500;577,6091841463473;0,15521836829269456
113;14;;rf_pb_25P_30d;2;5;0,4;500;631,6649550377922;0,2633299100755844
114;15;;rf_pb_25P_30d;1;5;0,2;500;597,8280189397792;0,19565603787955843
115;16;;rf_pb_25P_30d;0;5;0,0;500;348,64544506733574;-0,3027091098653285
116;17;;rf_pb_25P_30d;2;5;0,4;500;577,5051641482278;0,15501032829645556
117;18;;rf_pb_25P_30d;1;5;0,2;500;523,5981193769537;0,04719623875390744
118;19;;rf_pb_25P_30d;0;5;0,0;500;442,9124089933132;-0,11417518201337361
119;20;;rf_pb_25P_30d;0;5;0,0;500;541,1269724437185;0,082253944887437
120;21;;rf_pb_25P_30d;0;5;0,0;500;499,5560376079367;-0,0008879247841266534
121;22;;rf_pb_25P_30d;0;5;0,0;500;475,5757136927894;-0,04884857261442119
122;23;;rf_pb_25P_30d;0;5;0,0;500;415,45993001256426;-0,16908013997487148
123;24;;rf_pb_25P_30d;3;5;0,6;500;676,3788012575229;0,35275760251504584
124;25;;rf_pb_25P_30d;0;5;0,0;500;440,83034732399744;-0,11833930535200511
125;26;;rf_pb_25P_30d;0;5;0,0;500;428,94005086623656;-0,14211989826752688
126;27;;rf_pb_25P_30d;0;5;0,0;500;363,90940707203123;-0,27218118585593754
127;28;;rf_pb_25P_30d;1;5;0,2;500;489,229198464236;-0,021541603071528016
128;29;;rf_pb_25P_30d;3;5;0,6;500;747,5338845413607;0,4950677690827215
129;30;;rf_pb_25P_30d;0;5;0,0;500;466,7210032119725;-0,06655799357605496
130;31;;rf_pb_25P_30d;0;5;0,0;500;532,8799288712562;0,06575985774251239
131;32;;rf_pb_25P_30d;2;5;0,4;500;517,1959733137588;0,034391946627517656
132;33;;rf_pb_25P_30d;3;5;0,6;500;628,248308042673;0,25649661608534596
133;34;;rf_pb_25P_30d;0;5;0,0;500;489,39913016383065;-0,021201739672338703
134;35;;rf_pb_25P_30d;1;5;0,2;500;481,873265308652;-0,03625346938269604
135;36;;rf_pb_25P_30d;2;5;0,4;500;535,9662927144896;0,07193258542897911
136;37;;rf_pb_25P_30d;1;5;0,2;500;417,58573528668995;-0,1648285294266201
137;38;;rf_pb_25P_30d;1;5;0,2;500;542,1681510771373;0,08433630215427457
138;39;;rf_pb_25P_30d;2;5;0,4;500;588,9707688613818;0,17794153772276355
139;40;;rf_pb_25P_30d;1;5;0,2;500;476,37073235587116;-0,04725853528825769
140;41;;rf_pb_25P_30d;2;5;0,4;500;518,2182448397492;0,03643648967949844
141;42;;rf_pb_25P_30d;2;5;0,4;500;559,9207202971938;0,11984144059438767
142;43;;rf_pb_25P_30d;0;5;0,0;500;335,4845890644502;-0,32903082187109967
143;44;;rf_pb_25P_30d;0;5;0,0;500;458,7962955049495;-0,08240740899010097
144;45;;rf_pb_25P_30d;0;5;0,0;500;482,8740128151051;-0,034251974369789766
145;46;;rf_pb_25P_30d;0;5;0,0;500;448,0785251497729;-0,10384294970045425
146;47;;rf_pb_25P_30d;3;5;0,6;500;723,2587623490231;0,4465175246980461
147;48;;rf_pb_25P_30d;1;5;0,2;500;509,3669950032548;0,018733990006509542
148;49;;rf_pb_25P_30d;0;5;0,0;500;498,2036593411808;-0,0035926813176383804
149;50;;rf_pb_25P_30d;0;5;0,0;500;356,22973591987056;-0,2875405281602589
150;1;;rf_pb_10P_15d;1;5;0,2;500;523,1256932014788;0,04625138640295768
151;2;;rf_pb_10P_15d;1;5;0,2;500;488,19738092274577;-0,02360523815450847
152;3;;rf_pb_10P_15d;0;5;0,0;500;422,68576962224483;-0,15462846075551034
153;4;;rf_pb_10P_15d;1;5;0,2;500;479,34950746731516;-0,04130098506536967
154;5;;rf_pb_10P_15d;1;5;0,2;500;469,86313074080795;-0,06027373851838411
155;6;;rf_pb_10P_15d;1;5;0,2;500;482,24698890924515;-0,03550602218150971
156;7;;rf_pb_10P_15d;1;5;0,2;500;578,7874193694408;0,15757483873888167
157;8;;rf_pb_10P_15d;1;5;0,2;500;506,1460970486523;0,01229219409730456
158;9;;rf_pb_10P_15d;3;5;0,6;500;605,3569862963878;0,2107139725927757
159;10;;rf_pb_10P_15d;1;5;0,2;500;471,748663044156;-0,05650267391168802
160;11;;rf_pb_10P_15d;0;5;0,0;500;448,4753687779263;-0,10304926244414742
161;12;;rf_pb_10P_15d;2;5;0,4;500;525,7552628932921;0,05151052578658414
162;13;;rf_pb_10P_15d;1;5;0,2;500;475,0438582883191;-0,049912283423361826
163;14;;rf_pb_10P_15d;2;5;0,4;500;503,127216282212;0,006254432564423951
164;15;;rf_pb_10P_15d;0;5;0,0;500;408,4473177299651;-0,1831053645400698
165;16;;rf_pb_10P_15d;0;5;0,0;500;473,6405914831479;-0,05271881703370423
166;17;;rf_pb_10P_15d;0;5;0,0;500;482,61646334630683;-0,03476707330738634
167;18;;rf_pb_10P_15d;1;5;0,2;500;475,1520049244133;-0,049695990151173416
168;19;;rf_pb_10P_15d;1;5;0,2;500;609,6502168751077;0,21930043375021546
169;20;;rf_pb_10P_15d;0;5;0,0;500;467,3481717327274;-0,06530365653454522
170;21;;rf_pb_10P_15d;1;5;0,2;500;483,18053507506806;-0,03363892984986387
171;22;;rf_pb_10P_15d;1;5;0,2;500;457,0358779578907;-0,08592824408421859
172;23;;rf_pb_10P_15d;0;5;0,0;500;473,63049578377695;-0,0527390084324461
173;24;;rf_pb_10P_15d;1;5;0,2;500;483,54561135079666;-0,032908777298406675
174;25;;rf_pb_10P_15d;1;5;0,2;500;518,7589725583691;0,03751794511673825
175;26;;rf_pb_10P_15d;4;5;0,8;500;675,386623342119;0,3507732466842381
176;27;;rf_pb_10P_15d;1;5;0,2;500;434,6046641888978;-0,1307906716222044
177;28;;rf_pb_10P_15d;0;5;0,0;500;475,0370393456456;-0,04992592130870878
178;29;;rf_pb_10P_15d;1;5;0,2;500;463,4825158603039;-0,07303496827939215
179;30;;rf_pb_10P_15d;0;5;0,0;500;518,2258262836536;0,03645165256730729
180;31;;rf_pb_10P_15d;1;5;0,2;500;512,1322730239074;0,024264546047814747
181;32;;rf_pb_10P_15d;2;5;0,4;500;531,6041587968341;0,0632083175936682
182;33;;rf_pb_10P_15d;2;5;0,4;500;459,5955333005503;-0,0808089333988994
183;34;;rf_pb_10P_15d;2;5;0,4;500;576,7488750159674;0,15349775003193486
184;35;;rf_pb_10P_15d;1;5;0,2;500;511,7923367313667;0,02358467346273335
185;36;;rf_pb_10P_15d;1;5;0,2;500;495,9763404948806;-0,008047319010238765
186;37;;rf_pb_10P_15d;0;5;0,0;500;423,9137242110002;-0,15217255157799958
187;38;;rf_pb_10P_15d;1;5;0,2;500;513,7375119183387;0,027475023836677336
188;39;;rf_pb_10P_15d;1;5;0,2;500;448,2712669675519;-0,10345746606489616
189;40;;rf_pb_10P_15d;1;5;0,2;500;469,6038044452388;-0,06079239110952244
190;41;;rf_pb_10P_15d;1;5;0,2;500;509,23903352041094;0,018478067040821885
191;42;;rf_pb_10P_15d;2;5;0,4;500;520,599071367213;0,04119814273442603
192;43;;rf_pb_10P_15d;2;5;0,4;500;563,5167711864125;0,12703354237282496
193;44;;rf_pb_10P_15d;1;5;0,2;500;489,62160993469297;-0,02075678013061406
194;45;;rf_pb_10P_15d;3;5;0,6;500;557,9899470186225;0,115979894037245
195;46;;rf_pb_10P_15d;0;5;0,0;500;426,4998887960334;-0,14700022240793317
196;47;;rf_pb_10P_15d;0;5;0,0;500;448,6738540567237;-0,10265229188655257
197;48;;rf_pb_10P_15d;2;5;0,4;500;523,9546689743456;0,04790933794869125
198;49;;rf_pb_10P_15d;1;5;0,2;500;492,90676960995677;-0,014186460780086464
199;50;;rf_pb_10P_15d;0;5;0,0;500;396,7040586421938;-0,20659188271561243
200;1;;Xv_pb_10N_15d;0;5;0,0;500;534,7456874710151;0,06949137494203024
201;2;;Xv_pb_10N_15d;3;5;0,6;500;460,96772920652944;-0,07806454158694112
202;3;;Xv_pb_10N_15d;2;5;0,4;500;461,2715066858292;-0,0774569866283416
203;4;;Xv_pb_10N_15d;2;5;0,4;500;446,54530715247233;-0,10690938569505533
204;5;;Xv_pb_10N_15d;0;5;0,0;500;810,8582235393335;0,621716447078667
205;6;;Xv_pb_10N_15d;1;5;0,2;500;471,05930918781763;-0,057881381624364736
206;7;;Xv_pb_10N_15d;2;5;0,4;500;649,6850177646803;0,29937003552936065
207;8;;Xv_pb_10N_15d;0;5;0,0;500;629,4971343066703;0,25899426861334063
208;9;;Xv_pb_10N_15d;3;5;0,6;500;493,56633153643037;-0,012867336927139263
209;10;;Xv_pb_10N_15d;1;5;0,2;500;539,5557709213272;0,07911154184265433
210;11;;Xv_pb_10N_15d;3;5;0,6;500;604,6895187806216;0,20937903756124318
211;12;;Xv_pb_10N_15d;0;5;0,0;500;523,8500594153134;0,047700118830626706
212;13;;Xv_pb_10N_15d;2;5;0,4;500;462,71434191690423;-0,07457131616619153
213;14;;Xv_pb_10N_15d;1;5;0,2;500;582,8474303936378;0,1656948607872755
214;15;;Xv_pb_10N_15d;2;5;0,4;500;481,79833864377593;-0,03640332271244813
215;16;;Xv_pb_10N_15d;2;5;0,4;500;511,2201203552221;0,022440240710444186
216;17;;Xv_pb_10N_15d;2;5;0,4;500;439,1983627511282;-0,12160327449774365
217;18;;Xv_pb_10N_15d;0;5;0,0;500;525,1691013644443;0,05033820272888852
218;19;;Xv_pb_10N_15d;0;5;0,0;500;665,1591880098592;0,3303183760197185
219;20;;Xv_pb_10N_15d;1;5;0,2;500;505,3870820966108;0,010774164193221622
220;21;;Xv_pb_10N_15d;3;5;0,6;500;442,02550288221084;-0,1159489942355783
221;22;;Xv_pb_10N_15d;3;5;0,6;500;434,67263176749753;-0,13065473646500492
222;23;;Xv_pb_10N_15d;0;5;0,0;500;591,9131613076992;0,18382632261539833
223;24;;Xv_pb_10N_15d;3;5;0,6;500;418,1853543125645;-0,16362929137487095
224;25;;Xv_pb_10N_15d;3;5;0,6;500;434,9127140400867;-0,13017457191982656
225;26;;Xv_pb_10N_15d;1;5;0,2;500;485,0315465350835;-0,029936906929832956
226;27;;Xv_pb_10N_15d;2;5;0,4;500;514,8424808149895;0,029684961629978943
227;28;;Xv_pb_10N_15d;1;5;0,2;500;470,91207942833336;-0,05817584114333329
228;29;;Xv_pb_10N_15d;2;5;0,4;500;505,25758138154407;0,010515162763088143
229;30;;Xv_pb_10N_15d;2;5;0,4;500;424,6598897565843;-0,15068022048683144
230;31;;Xv_pb_10N_15d;1;5;0,2;500;514,1184460113996;0,028236892022799113
231;32;;Xv_pb_10N_15d;2;5;0,4;500;504,0069554617246;0,008013910923449203
232;33;;Xv_pb_10N_15d;2;5;0,4;500;466,253053829294;-0,067493892341412
233;34;;Xv_pb_10N_15d;3;5;0,6;500;471,7339495223231;-0,056532100955353826
234;35;;Xv_pb_10N_15d;3;5;0,6;500;444,4196003400957;-0,11116079931980857
235;36;;Xv_pb_10N_15d;1;5;0,2;500;608,573466231192;0,21714693246238403
236;37;;Xv_pb_10N_15d;2;5;0,4;500;500,72879158416214;0,0014575831683242768
